#	Time		Duration (s)	Process		Request                             	Port	Result	Data ( String )	

117	15:28:49.552	0.00000710	Mobile Partner	IRP_MJ_READ                         	COM4	SUCCESS	Length: 18, Data: ..+CLCK: 0....OK..	
118	15:28:49.574	0.00019690	Mobile Partner	IRP_MJ_WRITE                        	COM4	SUCCESS	Length: 10, Data: AT+CREG=1.	
119	15:28:49.577	0.00000660	Mobile Partner	IRP_MJ_READ                         	COM4	SUCCESS	Length: 6, Data: ..OK..	
120	15:28:49.610	0.00013170	Mobile Partner	IRP_MJ_WRITE                        	COM4	SUCCESS	Length: 9, Data: AT+CPMS?.	
121	15:28:49.613	0.00000630	Mobile Partner	IRP_MJ_READ                         	COM4	SUCCESS	Length: 46, Data: ..+CPMS: "SM",0,15,"SM",0,15,"SM",0,15....OK..	
122	15:28:49.635	0.00017730	Mobile Partner	IRP_MJ_WRITE                        	COM4	SUCCESS	Length: 9, Data: AT^CPIN?.	
123	15:28:49.638	0.00000810	Mobile Partner	IRP_MJ_READ                         	COM4	SUCCESS	Length: 33, Data: ..^CPIN: READY,,10,3,10,3....OK..	
124	15:28:49.660	0.00012310	Mobile Partner	IRP_MJ_WRITE                        	COM4	SUCCESS	Length: 11, Data: AT+CGREG=1.	
125	15:28:49.663	0.00000810	Mobile Partner	IRP_MJ_READ                         	COM4	SUCCESS	Length: 6, Data: ..OK..	
126	15:28:49.696	0.00021630	Mobile Partner	IRP_MJ_WRITE                        	COM4	SUCCESS	Length: 23, Data: AT+CPMS="SM","SM","SM".	
127	15:28:49.699	0.00000620	Mobile Partner	IRP_MJ_READ                         	COM4	SUCCESS	Length: 31, Data: ..+CPMS: 0,15,0,15,0,15....OK..	
128	15:28:49.721	0.00022500	Mobile Partner	IRP_MJ_WRITE                        	COM4	SUCCESS	Length: 15, Data: AT+CLCK="SC",2.	
129	15:28:49.738	0.00000710	Mobile Partner	IRP_MJ_READ                         	COM4	SUCCESS	Length: 18, Data: ..+CLCK: 0....OK..	
130	15:28:49.757	0.00015730	Mobile Partner	IRP_MJ_WRITE                        	COM4	SUCCESS	Length: 12, Data: AT+CSSN=1,1.	
131	15:28:49.760	0.00000600	Mobile Partner	IRP_MJ_READ                         	COM4	SUCCESS	Length: 6, Data: ..OK..	
132	15:28:49.782	0.00014000	Mobile Partner	IRP_MJ_WRITE                        	COM4	SUCCESS	Length: 10, Data: AT+CMGD=?.	
133	15:28:49.785	0.00000580	Mobile Partner	IRP_MJ_READ                         	COM4	SUCCESS	Length: 25, Data: ..+CMGD: (),(0-4)....OK..	
134	15:28:49.818	0.00014730	Mobile Partner	IRP_MJ_WRITE                        	COM4	SUCCESS	Length: 10, Data: AT+CCWA=1.	
135	15:28:49.821	0.00000610	Mobile Partner	IRP_MJ_READ                         	COM4	SUCCESS	Length: 6, Data: ..OK..	
136	15:28:49.843	0.00020790	Mobile Partner	IRP_MJ_WRITE                        	COM4	SUCCESS	Length: 15, Data: AT+CLCK="SC",2.	
137	15:28:49.860	0.00000800	Mobile Partner	IRP_MJ_READ                         	COM4	SUCCESS	Length: 18, Data: ..+CLCK: 0....OK..	
138	15:28:49.890	0.00015410	Mobile Partner	IRP_MJ_WRITE                        	COM4	SUCCESS	Length: 18, Data: AT+CNMI=2,1,2,2,0.	
139	15:28:49.907	0.00002110	Mobile Partner	IRP_MJ_READ                         	COM4	SUCCESS	Length: 6, Data: ..OK..	
140	15:28:49.937	0.00019660	Mobile Partner	IRP_MJ_WRITE                        	COM4	SUCCESS	Length: 10, Data: AT+CMGF=0.	
141	15:28:49.940	0.00001070	Mobile Partner	IRP_MJ_READ                         	COM4	SUCCESS	Length: 6, Data: ..OK..	
142	15:28:49.973	0.00011430	Mobile Partner	IRP_MJ_WRITE                        	COM4	SUCCESS	Length: 15, Data: AT+CLCK="SC",2.	
143	15:28:49.976	0.00000580	Mobile Partner	IRP_MJ_READ                         	COM4	SUCCESS	Length: 18, Data: ..+CLCK: 0....OK..	
144	15:28:49.998	0.00015740	Mobile Partner	IRP_MJ_WRITE                        	COM4	SUCCESS	Length: 23, Data: AT+CPMS="SM","SM","SM".	
145	15:28:50.001	0.00000690	Mobile Partner	IRP_MJ_READ                         	COM4	SUCCESS	Length: 31, Data: ..+CPMS: 0,15,0,15,0,15....OK..	
146	15:28:50.023	0.00010570	Mobile Partner	IRP_MJ_WRITE                        	COM4	SUCCESS	Length: 9, Data: AT+CPMS?.	
147	15:28:50.040	0.00000860	Mobile Partner	IRP_MJ_READ                         	COM4	SUCCESS	Length: 46, Data: ..+CPMS: "SM",0,15,"SM",0,15,"SM",0,15....OK..	
148	15:28:50.071	0.00024000	Mobile Partner	IRP_MJ_WRITE                        	COM4	SUCCESS	Length: 15, Data: AT+CLCK="SC",2.	
149	15:28:50.074	0.00000720	Mobile Partner	IRP_MJ_READ                         	COM4	SUCCESS	Length: 18, Data: ..+CLCK: 0....OK..	
150	15:28:50.096	0.00010430	Mobile Partner	IRP_MJ_WRITE                        	COM4	SUCCESS	Length: 15, Data: AT+CLCK="SC",2.	
151	15:28:50.113	0.00004530	Mobile Partner	IRP_MJ_READ                         	COM4	SUCCESS	Length: 18, Data: ..+CLCK: 0....OK..	
152	15:28:50.143	0.00013350	Mobile Partner	IRP_MJ_WRITE                        	COM4	SUCCESS	Length: 15, Data: AT+CLCK="SC",2.	
153	15:28:50.160	0.00000740	Mobile Partner	IRP_MJ_READ                         	COM4	SUCCESS	Length: 18, Data: ..+CLCK: 0....OK..	
154	15:28:50.190	0.00012440	Mobile Partner	IRP_MJ_WRITE                        	COM4	SUCCESS	Length: 15, Data: AT+CLCK="SC",2.	
155	15:28:50.207	0.00000690	Mobile Partner	IRP_MJ_READ                         	COM4	SUCCESS	Length: 18, Data: ..+CLCK: 0....OK..	
156	15:28:50.237	0.00010830	Mobile Partner	IRP_MJ_WRITE                        	COM4	SUCCESS	Length: 13, Data: AT+CPBS="SM".	
157	15:28:50.240	0.00000910	Mobile Partner	IRP_MJ_READ                         	COM4	SUCCESS	Length: 6, Data: ..OK..	
158	15:28:50.262	0.00017930	Mobile Partner	IRP_MJ_WRITE                        	COM4	SUCCESS	Length: 9, Data: AT^CPIN?.	
159	15:28:50.265	0.00000890	Mobile Partner	IRP_MJ_READ                         	COM4	SUCCESS	Length: 33, Data: ..^CPIN: READY,,10,3,10,3....OK..	
160	15:28:50.287	0.00015050	Mobile Partner	IRP_MJ_WRITE                        	COM4	SUCCESS	Length: 9, Data: AT+CPBS?.	
161	15:28:50.290	0.00000690	Mobile Partner	IRP_MJ_READ                         	COM4	SUCCESS	Length: 28, Data: ..+CPBS: "SM",15,250....OK..	
162	15:28:50.323	0.00014310	Mobile Partner	IRP_MJ_WRITE                        	COM4	SUCCESS	Length: 15, Data: AT+CLCK="SC",2.	
163	15:28:50.340	0.00000870	Mobile Partner	IRP_MJ_READ                         	COM4	SUCCESS	Length: 18, Data: ..+CLCK: 0....OK..	
164	15:28:50.359	0.00015980	Mobile Partner	IRP_MJ_WRITE                        	COM4	SUCCESS	Length: 14, Data: AT^HWNATQRY=?.	
165	15:28:50.362	0.00000860	Mobile Partner	IRP_MJ_READ                         	COM4	SUCCESS	Length: 23, Data: ..COMMAND NOT SUPPORT..	
166	15:28:50.384	0.00011140	Mobile Partner	IRP_MJ_WRITE                        	COM4	SUCCESS	Length: 13, Data: AT^HWNATQRY?.	
167	15:28:50.387	0.00000630	Mobile Partner	IRP_MJ_READ                         	COM4	SUCCESS	Length: 23, Data: ..COMMAND NOT SUPPORT..	
168	15:28:50.409	0.00010660	Mobile Partner	IRP_MJ_WRITE                        	COM4	SUCCESS	Length: 9, Data: AT+CPMS?.	
169	15:28:50.412	0.00000690	Mobile Partner	IRP_MJ_READ                         	COM4	SUCCESS	Length: 46, Data: ..+CPMS: "SM",0,15,"SM",0,15,"SM",0,15....OK..	
170	15:28:50.445	0.00014700	Mobile Partner	IRP_MJ_WRITE                        	COM4	SUCCESS	Length: 23, Data: AT+CPMS="SM","SM","SM".	
171	15:28:50.448	0.00001090	Mobile Partner	IRP_MJ_READ                         	COM4	SUCCESS	Length: 31, Data: ..+CPMS: 0,15,0,15,0,15....OK..	
172	15:28:50.470	0.00024570	Mobile Partner	IRP_MJ_WRITE                        	COM4	SUCCESS	Length: 10, Data: AT+CMGD=?.	
173	15:28:50.473	0.00000900	Mobile Partner	IRP_MJ_READ                         	COM4	SUCCESS	Length: 25, Data: ..+CMGD: (),(0-4)....OK..	
174	15:28:50.921	0.00012940	Mobile Partner	IRP_MJ_WRITE                        	COM4	SUCCESS	Length: 14, Data: AT^HWNATQRY=?.	
175	15:28:50.924	0.00000690	Mobile Partner	IRP_MJ_READ                         	COM4	SUCCESS	Length: 23, Data: ..COMMAND NOT SUPPORT..	
176	15:28:50.946	0.00021010	Mobile Partner	IRP_MJ_WRITE                        	COM4	SUCCESS	Length: 9, Data: AT^CPIN?.	
177	15:28:50.949	0.00001190	Mobile Partner	IRP_MJ_READ                         	COM4	SUCCESS	Length: 33, Data: ..^CPIN: READY,,10,3,10,3....OK..	
178	15:28:50.971	0.00013120	Mobile Partner	IRP_MJ_WRITE                        	COM4	SUCCESS	Length: 15, Data: AT+CLCK="SC",2.	
179	15:28:50.974	0.00000620	Mobile Partner	IRP_MJ_READ                         	COM4	SUCCESS	Length: 18, Data: ..+CLCK: 0....OK..	
180	15:28:51.007	0.00010790	Mobile Partner	IRP_MJ_WRITE                        	COM4	SUCCESS	Length: 13, Data: AT^CARDLOCK?.	
181	15:28:51.010	0.00000750	Mobile Partner	IRP_MJ_READ                         	COM4	SUCCESS	Length: 27, Data: ..^CARDLOCK: 2,10,0....OK..	
182	15:28:51.052	0.00014340	Mobile Partner	IRP_MJ_WRITE                        	COM4	SUCCESS	Length: 13, Data: AT^CARDLOCK?.	
183	15:28:51.055	0.00000750	Mobile Partner	IRP_MJ_READ                         	COM4	SUCCESS	Length: 27, Data: ..^CARDLOCK: 2,10,0....OK..	
184	15:28:51.077	0.00013980	Mobile Partner	IRP_MJ_WRITE                        	COM4	SUCCESS	Length: 14, Data: AT^HWNATQRY=?.	
185	15:28:51.080	0.00001020	Mobile Partner	IRP_MJ_READ                         	COM4	SUCCESS	Length: 23, Data: ..COMMAND NOT SUPPORT..	
186	15:28:51.102	0.00017000	Mobile Partner	IRP_MJ_WRITE                        	COM4	SUCCESS	Length: 12, Data: AT^REALNAME.	
187	15:28:51.105	0.00001060	Mobile Partner	IRP_MJ_READ                         	COM4	SUCCESS	Length: 23, Data: ..COMMAND NOT SUPPORT..	
188	15:28:51.138	0.00000000	Mobile Partner	IRP_MJ_WRITE                        	COM4		Length: 8, Data: AT+CGMM.	
189	15:28:51.141	0.00000810	Mobile Partner	IRP_MJ_READ                         	COM4	SUCCESS	Length: 14, Data: ..E173....OK..	
